Ticket Number,Date Opened,Product Category,Model Code,Ticket Status,Priority,Assigned Team,Time to Resolution (Hours),CSAT Score,Resolution Status,Contact Channel,Symptom Description,Engineer ID,SLA Violation
4123450998.0,09-01-2026,Tablets,SM-T870,Repair completed,High,Level2 Support,48hrs,N/A,Closed,chat,washing machine making noise,ENG034,
4123450237.0,2025-03-03,Tablets,SM-T970,Acknowledged(ASC),Medium,Level1 Support,Pending,3,,In-person,watch band broken,ENG078,
4123450821.0,2026-03-20,,SM-R870,Pending,Low,L3,68.4,five,Pending,In-person,dishwasher leaking,ENG034,N
4123450691.0,17-08-2025,TV/AV,,Assigned to Service Center,,Hardware Team,five,3,Fixed,Email,refrigerator not cooling,ENG045,Yes
4123450763.0,2025/08/02,,SM-T860,Assigned to Service Center,,L1,232.0,5,In Progress,In-person,washing machine making noise,N,
4123450116.0,,Home Appliances,RF28R6201SR,Engineer Assigned,Meduim,Level3 Support,Pending,4,Cancelled,chat,TV apps crashing,ENG078,
4123450889.0,Apr 11 2025,Home Appliances,DVE50R5400V,Delivery in Progress,High,L2,five,4,Pending,chat,TV apps crashing,ENG023,YES
4123450094.0,21/02/2025,Mobile Phones,SM-A546U,Canceled,High,Level3 Support,273.4,,Fixed,Email,screen flickering,N,Yes
4123450298.0,Dec 11 2025,Home Appliances,WA50R5400AP,Pending,Hgh,L3,five,4,Cancelled,Email,no power,ENG023,
4123450290.0,03-06-2025,Wearables,SM-R920,Compleated,Hgh,L1,43.5,,Resolved,chat,cracked screen,ENG045,N
4123450793.0,28-01-2026,Home Appliances,DVE50R5400V,,LOW,L1,236.8,N/A,Fixed,chat,fold screen issue,ENG078,Yes
4123450690.0,15/04/2025,,SM-F721U,Closed,CRITICAL,L2,293.0,,Resolved,In-person,hinge issue,ENG089,No
,2025-08-19,Home Appliances,DV50T9900V,Engineer Assigned,Low,Field Service,Pending,1,Cancelled,chat,watch band broken,ENG012,Yes
4123451057.0,Jul 03 2025,TV/AV,QN55Q80C,Acknowledged(ASC),High,Level2 Support,,4,Pending,Email,refrigerator not cooling,ENG023,
4123450272.0,05-01-2026,Home Appliances,RF28R7351SR,Acknowledged(ASC),Low,Hardware Team,108.4,5,,,hinge issue,N,No
4123450785.0,29-04-2025,,RF28R7351SR,Delivery in Progress,Low,,288.7,5,In Progress,Phone,screen protector bubbling,ENG034,N
4123450747.0,28/01/2025,Mobile Phones,SM-A546U,Pending,LOW,L2,50.6,2,Pending,Email,fold screen issue,N,
,29-01-2025,Wearables,,Assigned to Service Center,LOW,L3,237.1,N/A,Resolved,chat,cracked screen,N,YES
4123451028.0,28-01-2026,Wearables,SM-R510,Request,Hgh,Level1 Support,11.9,4,Fixed,In-person,,ENG034,Yes
4123451036.0,09/04/2025,Mobile Phones,,Closed,High,Field Service,,2,,,bluetooth connectivity,ENG078,Yes
,2025/12/06,Home Appliances,RF28R7351SR,Assigned to Service Center,Medium,Field Service,82.5,4,Pending,Email,washing machine making noise,,Yes
4123451048.0,2025-07-06,Wearables,SM-R870,In Progress,Meduim,Level1 Support,five,,Cancelled,chat,screen flickering,ENG023,Yes
4123450912.0,Jan 29 2026,Tablets,SM-T500,Request,Hgh,L2,56.8,4,,chat,dishwasher leaking,ENG034,
4123450668.0,07/07/2025,,SM-T970,Acknowledged(ASC),High,Level3 Support,39.0,1,,In-person,,ENG078,YES
4123450096.0,18/04/2025,Home Appliances,DVE50R5400V,,Medium,,five,4,Pending,Phone,,ENG078,Yes
4123450324.0,28-01-2025,TV/AV,QN85QN900B,Canceled,Meduim,,N/A,5,In Progress,,no power,N,Yes
4123450408.0,Apr 26 2025,Wearables,SM-R510,Delivery in Progress,,Level1 Support,51.5,,Resolved,,phone won't charge,ENG045,N
4123450138.0,,Home Appliances,DV50T9900V,Compleated,Low,L2,48hrs,1,Fixed,Email,dishwasher leaking,,
4123450216.0,,Tablets,SM-T970,Delivery in Progress,,L1,,1,Closed,Phone,phone overheating,eng045,
,2025/04/29,Home Appliances,RF28R6201SR,Canceled,,,five,,Pending,Phone,fold screen issue,ENG034,YES
4123451070.0,2026-03-26,Home Appliances,DVE50R5400V,Assigned to Service Center,,Level2 Support,,5,Fixed,In-person,refrigerator not cooling,ENG034,YES
4123451014.0,2025/08/27,,,Repair completed,,Level1 Support,N/A,1,Pending,Phone,hinge issue,ENG078,YES
4123450824.0,,Wearables,SM-R920,Delivery in Progress,LOW,L2,255.8,4,Resolved,chat,bluetooth connectivity,ENG012,YES
4123450500.0,07-12-2025,,QA65QN900A,Pending,CRITICAL,Level3 Support,five,5,Fixed,chat,dishwasher leaking,ENG089,Yes
4123450284.0,03/02/2026,Tablets,SM-X910,Closed,High,Field Service,262.0,4,Cancelled,chat,customer canceled,,
,2025/05/24,Wearables,SM-R510,,Meduim,Level2 Support,129.0,,In Progress,In-person,screen flickering,ENG089,Yes
4123450904.0,2025-05-07,Mobile Phones,,Delivery in Progress,,L3,48hrs,,,Phone,bluetooth connectivity,,YES
4123450519.0,2026-01-31,TV/AV,QN75QN900C,,CRITICAL,L1,,2,In Progress,,phone overheating,ENG034,Yes
4123450375.0,11-02-2025,,QN75QN900C,Repair completed,Meduim,Field Service,224.4,5,,Email,screen protector bubbling,N,Yes
4123450919.0,Jun 01 2025,TV/AV,QA65QN900A,Canceled,CRITICAL,,-5.0,five,Cancelled,Phone,tablet won't turn on,eng045,
4123450109.0,2026/02/21,Home Appliances,WF45T6000AW,Pending,Low,Level1 Support,13.1,N/A,Pending,In-person,dishwasher leaking,ENG012,No
4123450953.0,2025/12/21,TV/AV,QN75QN900C,,CRITICAL,L3,221.8,5,Pending,chat,cracked screen,eng045,
4123450501.0,11/03/2026,TV/AV,,Request,LOW,Field Service,N/A,2,In Progress,chat,washing machine making noise,ENG078,YES
4123450777.0,2026-01-05,Home Appliances,DV50T9900V,Request,Meduim,Hardware Team,five,4,Pending,In-person,screen flickering,,
4123450476.0,2025-06-27,Home Appliances,RF28R6201SR,In Progress,Low,L1,47.9,2,Resolved,chat,hinge issue,ENG089,N
,,TV/AV,QN55Q70D,Repair completed,,L3,48hrs,4,In Progress,Email,washing machine making noise,N,No
4123450464.0,2025-04-16,Mobile Phones,SM-F946U,Pending,Hgh,Level2 Support,five,3,Closed,Email,bluetooth connectivity,eng045,
4123450134.0,Jun 04 2025,TV/AV,QN65Q800C,In Progress,Meduim,,159.8,,,Email,battery drain,,
,09-11-2025,Wearables,SM-R920,Pending,Medium,L2,,3,Fixed,Email,,eng045,N
4123450347.0,10/01/2025,TV/AV,QN65Q800C,Delivery in Progress,CRITICAL,Level1 Support,294.9,1,Pending,chat,watch band broken,ENG034,YES
4123450982.0,Oct 09 2025,Wearables,SM-R510,In Progress,,,271.3,2,Closed,Email,,ENG089,
4123450866.0,2026/03/17,Wearables,,Engineer Assigned,Meduim,Field Service,228.0,4,,In-person,dishwasher leaking,ENG045,
4123450729.0,2025-11-27,Tablets,SM-T860,Pending,Hgh,L2,,3,Resolved,,dishwasher leaking,ENG034,Yes
4123451084.0,Dec 11 2025,Mobile Phones,SM-F721U,,LOW,L1,103.7,4,Cancelled,Email,,ENG078,No
4123450319.0,25/09/2025,Home Appliances,WF45T6000AW,Compleated,Meduim,Level1 Support,298.0,five,Closed,Phone,,ENG078,N
4123450930.0,Jul 15 2025,,DV50T9900V,,Low,Hardware Team,N/A,3,Resolved,,phone won't charge,,
4123450193.0,29/06/2025,Tablets,SM-T860,Repair completed,CRITICAL,Level1 Support,10.9,,Cancelled,Email,tablet won't turn on,,No
4123451008.0,2025/06/01,Mobile Phones,SM-F946U,Request,,,,4,Pending,Phone,,N,YES
4123450618.0,14-04-2025,TV/AV,QN85QN900B,Pending,Medium,Level2 Support,48hrs,1,Closed,chat,customer canceled,eng045,
4123451058.0,2025/02/08,TV/AV,QA65QN900A,Pending,CRITICAL,Hardware Team,,4,Closed,chat,bluetooth connectivity,eng045,Yes
4123450698.0,Aug 29 2025,Tablets,,Assigned to Service Center,Medium,L1,56.8,,Fixed,In-person,battery drain,eng045,Yes
4123450566.0,2025-06-20,Mobile Phones,SM-F946U,In Progress,Medium,Level2 Support,116.4,five,In Progress,Phone,,ENG012,YES
4123451101.0,2025/06/19,Home Appliances,DVE50R5400V,Delivery in Progress,CRITICAL,Field Service,89.3,1,Closed,Email,camera blurry,ENG089,
4123450956.0,2025-12-11,Mobile Phones,SM-G998B,Canceled,Hgh,Field Service,241.5,,In Progress,Phone,,N,No
4123450407.0,2025-01-28,,SM-R920,Pending,Medium,L2,215.4,3,Cancelled,chat,bluetooth connectivity,ENG012,No
4123450912.0,Aug 05 2025,Mobile Phones,SM-S921U,Compleated,LOW,L2,123.4,4,Pending,Email,TV apps crashing,ENG034,YES
4123450307.0,04-03-2026,Tablets,SM-T860,Assigned to Service Center,LOW,L3,,5,In Progress,chat,phone won't charge,ENG023,N
4123450158.0,2025-03-18,Mobile Phones,SM-N986U,Pending,Low,,213.3,2,Fixed,Phone,phone won't charge,,Yes
4123450290.0,2025-12-10,,,Canceled,Hgh,L1,N/A,4,,Email,washing machine making noise,N,N
4123450491.0,2025/06/22,Mobile Phones,,,Meduim,L2,48hrs,3,Cancelled,chat,camera blurry,ENG045,YES
4123450489.0,04-05-2025,TV/AV,QN55Q80C,Engineer Assigned,LOW,Level3 Support,,4,In Progress,,bluetooth connectivity,ENG023,N
4123450764.0,23-01-2026,Wearables,SM-R510,Engineer Assigned,Meduim,Field Service,157.8,3,Fixed,chat,,ENG034,
4123450445.0,Sep 25 2025,Tablets,SM-T500,Delivery in Progress,Low,Level1 Support,219.4,3,In Progress,chat,washing machine making noise,,
4123450912.0,2025-10-21,TV/AV,QN55Q80C,Pending,LOW,L2,248.6,,Pending,In-person,battery drain,,
4123450547.0,2025-12-05,,SM-R510,Assigned to Service Center,Low,Level3 Support,48hrs,1,,Phone,phone won't charge,eng045,
4123450454.0,,Wearables,SM-R870,Delivery in Progress,Low,L3,277.0,3,Cancelled,In-person,refrigerator not cooling,ENG089,Yes
4123450226.0,2025/07/10,,QN85QN900B,Delivery in Progress,Meduim,L2,63.9,4,Closed,Email,battery drain,N,No
4123450625.0,19/02/2025,Tablets,SM-T970,Closed,High,L1,254.2,4,Pending,In-person,screen protector bubbling,eng045,
4123450890.0,14-01-2026,Home Appliances,WA50R5400AP,,CRITICAL,Field Service,17.7,3,In Progress,In-person,bluetooth connectivity,eng045,
4123450633.0,,Tablets,SM-T860,,Hgh,L2,N/A,3,Fixed,chat,battery drain,ENG045,No
4123450818.0,2025-12-20,TV/AV,QN75QN900C,Canceled,Hgh,Level2 Support,N/A,,,,screen flickering,ENG012,YES
4123450579.0,2025-03-30,Mobile Phones,SM-S921U,In Progress,Meduim,L3,Pending,,Resolved,chat,dishwasher leaking,ENG012,No
4123450349.0,2025/12/09,TV/AV,QN55Q70D,,CRITICAL,Hardware Team,,1,,Email,TV apps crashing,ENG078,YES
4123450206.0,2025-03-13,,SM-T970,Repair completed,LOW,Level3 Support,127.6,5,Pending,In-person,cracked screen,eng045,YES
4123450526.0,Jan 26 2026,TV/AV,QA65QN900A,Repair completed,LOW,L3,199.6,3,Fixed,Email,refrigerator not cooling,ENG012,N
4123451024.0,24/01/2025,Wearables,SM-R920,Pending,CRITICAL,L3,,3,Pending,In-person,customer canceled,eng045,
4123450902.0,2025-11-25,TV/AV,QN55Q80C,Closed,Meduim,L1,155.4,five,Pending,In-person,washing machine making noise,,No
4123450715.0,2026/02/17,,SM-R870,Compleated,Medium,Level3 Support,198.3,N/A,Pending,chat,phone won't charge,N,YES
4123450781.0,May 22 2025,Home Appliances,WA50R5400AP,In Progress,,L2,,,Cancelled,,bluetooth connectivity,,YES
4123450305.0,27/11/2025,Wearables,SM-R920,Compleated,Meduim,Field Service,five,five,,,,ENG034,
4123450294.0,2025-08-15,TV/AV,QN75QN900C,Acknowledged(ASC),Meduim,L3,48hrs,five,,Phone,phone won't charge,ENG034,
4123451115.0,2025-02-04,Tablets,SM-X910,Delivery in Progress,High,Level2 Support,48hrs,2,Closed,Email,hinge issue,ENG034,No
4123450468.0,2026/01/02,TV/AV,QA65QN900A,Compleated,,Level3 Support,108.3,N/A,Pending,Phone,camera blurry,ENG034,
4123450747.0,12/03/2025,Wearables,SM-R510,Delivery in Progress,LOW,Hardware Team,217.2,N/A,In Progress,Phone,charging port loose,ENG012,N
4123450919.0,05/01/2025,Tablets,SM-T860,,High,L2,,5,,chat,cracked screen,ENG089,Yes
4123450923.0,12-01-2025,Mobile Phones,SM-F721U,Canceled,CRITICAL,Level2 Support,Pending,5,Pending,Email,,ENG045,Yes
,24-04-2025,Home Appliances,WF45T6000AW,Acknowledged(ASC),Meduim,Level3 Support,57.3,3,Fixed,Phone,bluetooth connectivity,ENG089,No
4123450179.0,,Mobile Phones,SM-S911U,Assigned to Service Center,High,Level3 Support,76.0,2,Cancelled,Email,hinge issue,ENG012,No
4123450638.0,,Wearables,,,LOW,Level1 Support,five,1,,Email,refrigerator not cooling,ENG078,
4123450305.0,2025/03/02,,WA50R5400AP,Delivery in Progress,Meduim,L2,100.9,3,Pending,chat,customer canceled,ENG023,Yes
4123450751.0,2025/03/03,,QN65Q800C,Canceled,CRITICAL,Level1 Support,22.3,2,Cancelled,Phone,screen protector bubbling,ENG045,N
4123450208.0,2025-04-23,Tablets,SM-T870,Acknowledged(ASC),Meduim,L2,,2,,,tablet won't turn on,ENG023,Yes
4123450477.0,,Tablets,SM-T860,Assigned to Service Center,Hgh,Level3 Support,,,Resolved,Phone,screen protector bubbling,ENG023,
4123450246.0,,Wearables,SM-R870,Canceled,LOW,Hardware Team,N/A,1,Closed,chat,dishwasher leaking,ENG023,Yes
4123450906.0,05/02/2026,Tablets,SM-T870,Acknowledged(ASC),Medium,L1,282.1,4,Closed,chat,TV apps crashing,ENG045,No
4123450682.0,2025/09/15,Wearables,SM-R510,Canceled,CRITICAL,L2,241.1,,In Progress,Email,remote not working,ENG089,YES
4123450485.0,2026/02/10,Tablets,SM-T870,,High,Level1 Support,N/A,4,Closed,Phone,no power,ENG023,
4123450231.0,Mar 16 2025,TV/AV,QA65QN900A,Assigned to Service Center,Low,Field Service,222.9,,In Progress,In-person,dishwasher leaking,,Yes
4123450219.0,14-03-2025,Mobile Phones,SM-S911U,Delivery in Progress,LOW,Level3 Support,Pending,1,,In-person,fold screen issue,N,No
4123450777.0,Jan 25 2026,Wearables,,Pending,Low,Field Service,124.0,1,Cancelled,In-person,dishwasher leaking,N,
4123450482.0,22-01-2026,TV/AV,QN65Q800C,Pending,Hgh,L1,249.7,1,Closed,Email,battery drain,N,N
4123450525.0,Jul 30 2025,TV/AV,QN65Q800C,,Hgh,L2,-3.7,five,Pending,In-person,hinge issue,ENG045,No
4123450314.0,Mar 01 2026,Wearables,,Compleated,Medium,Level2 Support,,5,In Progress,chat,,ENG012,
4123450959.0,09-11-2025,Tablets,SM-X910,Acknowledged(ASC),Meduim,Level2 Support,,4,In Progress,chat,phone won't charge,ENG089,No
4123450579.0,2025-03-13,Tablets,SM-X910,Closed,Low,,48hrs,1,Closed,In-person,no power,ENG012,
4123450858.0,2026/01/08,Home Appliances,RF28R7351SR,Compleated,High,Level1 Support,295.0,,Pending,Email,camera blurry,,
4123450616.0,2025-06-14,Tablets,SM-T500,Request,Meduim,L1,45.1,2,Cancelled,Phone,hinge issue,,No
4123450955.0,Jan 03 2026,Mobile Phones,SM-G998B,Pending,Meduim,L2,,3,Fixed,chat,phone won't charge,ENG023,
,Dec 14 2025,Home Appliances,DVE50R5400V,Canceled,Medium,Hardware Team,6.4,5,In Progress,Phone,no power,ENG034,YES
4123451105.0,27-02-2026,Mobile Phones,SM-G998B,Closed,Meduim,L2,,2,Pending,Phone,phone won't charge,ENG045,N
4123450289.0,May 19 2025,Mobile Phones,SM-F946U,In Progress,LOW,Field Service,48hrs,,In Progress,Email,washing machine making noise,N,YES
4123451023.0,2025/03/20,TV/AV,QN85QN900B,Canceled,Medium,L3,,,,Phone,charging port loose,,
4123450787.0,2025/01/08,Mobile Phones,SM-F946U,In Progress,CRITICAL,,,4,In Progress,Email,phone won't charge,ENG012,N
4123450185.0,29/04/2025,TV/AV,QN65Q800C,,Medium,L3,five,2,In Progress,,charging port loose,,N
4123450845.0,2025/11/04,,,In Progress,Low,Hardware Team,47.7,N/A,In Progress,chat,,ENG045,
4123450869.0,,Home Appliances,RF28R7351SR,,LOW,,101.3,,Cancelled,Email,charging port loose,ENG012,N
4123450346.0,08/05/2025,Mobile Phones,SM-S921U,Compleated,Meduim,L1,five,5,In Progress,Phone,tablet won't turn on,N,
4123450448.0,2025-09-10,TV/AV,QN55Q80C,Request,LOW,,82.9,3,,Phone,dishwasher leaking,ENG089,N
4123450996.0,Mar 15 2026,TV/AV,QN65Q800C,Request,High,Level1 Support,66.0,N/A,Cancelled,chat,phone overheating,,No
,Jan 01 2026,Wearables,SM-R870,Pending,LOW,Level1 Support,97.3,4,,Email,fold screen issue,ENG023,Yes
4123450988.0,Feb 02 2025,,QN85QN900B,Pending,Low,Level1 Support,113.8,,,chat,remote not working,ENG023,Yes
4123451107.0,2025/02/11,Mobile Phones,SM-S921U,Pending,CRITICAL,,48hrs,,Resolved,,remote not working,ENG045,
4123450981.0,2025-08-17,Wearables,,Canceled,LOW,L2,276.5,five,Cancelled,,washing machine making noise,ENG023,N
4123450389.0,04-11-2025,TV/AV,QN75QN900C,Engineer Assigned,CRITICAL,L2,215.4,5,Resolved,In-person,remote not working,ENG012,YES
4123450523.0,07/02/2025,TV/AV,QA65QN900A,Assigned to Service Center,CRITICAL,L1,203.3,,Pending,Email,cracked screen,,No
,28-02-2026,Wearables,SM-R510,Canceled,CRITICAL,Level3 Support,30.3,2,Pending,chat,screen flickering,N,N
4123450283.0,2025-07-23,,SM-X910,Delivery in Progress,CRITICAL,L2,72.9,,Fixed,Phone,hinge issue,,
4123450501.0,,Wearables,SM-R510,Compleated,,L1,,5,Fixed,In-person,battery drain,ENG089,
4123450619.0,2025/01/02,Tablets,SM-X910,Canceled,,Field Service,250.7,1,,chat,battery drain,ENG078,
4123450263.0,08-04-2025,Mobile Phones,SM-G998B,Engineer Assigned,Medium,L3,Pending,N/A,,Email,camera blurry,eng045,No
4123451161.0,09/04/2025,Wearables,SM-R870,Repair completed,Meduim,Level2 Support,five,3,,Email,remote not working,N,
4123450371.0,,TV/AV,QN55Q80C,Acknowledged(ASC),CRITICAL,Field Service,five,4,Cancelled,In-person,washing machine making noise,ENG078,No
4123450480.0,,Tablets,SM-T870,In Progress,High,L1,five,,Fixed,chat,,ENG034,N
,2025-07-13,Wearables,SM-R510,Canceled,Medium,Level1 Support,,4,Fixed,Email,TV apps crashing,ENG012,YES
4123450195.0,Oct 20 2025,Home Appliances,WF45T6000AW,Pending,Medium,Level1 Support,233.9,,Cancelled,chat,washing machine making noise,ENG012,N
4123450202.0,15-02-2026,Wearables,SM-R870,Compleated,High,,54.8,5,,Email,,,Yes
4123450406.0,2025-05-30,Mobile Phones,SM-S921U,Acknowledged(ASC),Meduim,L1,159.5,,Fixed,Email,hinge issue,ENG045,Yes
4123450642.0,2026/01/07,Mobile Phones,SM-F721U,Repair completed,Low,Field Service,197.4,4,,Email,phone overheating,N,YES
4123450557.0,2025-11-29,,,Engineer Assigned,Medium,Level2 Support,five,,Cancelled,Phone,dishwasher leaking,,No
4123450280.0,Jun 18 2025,TV/AV,QN65Q800C,Repair completed,CRITICAL,L1,267.5,five,Cancelled,Phone,cracked screen,ENG089,Yes
4123450966.0,22/03/2025,Wearables,SM-R870,Canceled,CRITICAL,,30.1,3,Pending,Phone,no power,eng045,Yes
4123450511.0,2026/01/26,TV/AV,QN85QN900B,Compleated,Meduim,Hardware Team,39.4,4,In Progress,chat,phone won't charge,N,N
4123451158.0,2026/01/05,Wearables,SM-R920,Acknowledged(ASC),,Level1 Support,84.7,2,Pending,chat,screen flickering,ENG023,
4123450467.0,17-03-2025,Home Appliances,RF28R7351SR,Closed,Meduim,L3,284.5,4,Fixed,In-person,customer canceled,ENG012,No
4123451143.0,Jan 04 2025,Home Appliances,WA50R5400AP,Request,Hgh,Field Service,,4,Fixed,Phone,charging port loose,eng045,
4123450513.0,Sep 29 2025,,SM-T970,Closed,Hgh,L3,,4,Fixed,Email,screen flickering,,
4123450506.0,May 19 2025,Wearables,SM-R870,Repair completed,Meduim,Level2 Support,,3,Pending,,screen protector bubbling,N,No
4123450820.0,13-03-2026,Mobile Phones,SM-A546U,Compleated,High,L1,48hrs,4,Cancelled,Phone,,,Yes
4123450314.0,29/01/2026,Home Appliances,,Repair completed,CRITICAL,Field Service,131.4,4,,Phone,battery drain,ENG089,
4123451091.0,01/10/2025,,,Engineer Assigned,CRITICAL,Hardware Team,72.7,N/A,In Progress,,washing machine making noise,ENG045,YES
,17-09-2025,Tablets,SM-T870,,Hgh,L3,261.3,N/A,Fixed,In-person,TV apps crashing,ENG089,Yes
4123450977.0,Feb 25 2026,Home Appliances,RF28R6201SR,Acknowledged(ASC),High,Level3 Support,246.7,2,Cancelled,chat,TV apps crashing,ENG023,YES
4123450451.0,24/02/2025,Tablets,SM-T970,Canceled,High,Level3 Support,74.0,5,Resolved,Phone,TV apps crashing,N,
4123450484.0,2025-07-28,Mobile Phones,SM-S921U,Closed,High,L1,193.5,5,In Progress,chat,no power,ENG078,Yes
4123451001.0,2025-05-11,Home Appliances,RF28R6201SR,In Progress,Low,L3,268.5,five,In Progress,chat,cracked screen,,Yes
